epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1008.16,1.64306,1.35095,1.68504,0.89522,0.77158,0.86382,0.45929,1.56398,0.9906,1.68949,0.00333205,0.00333205,0.00333205
2,1784.96,1.56816,1.28706,1.6126,0.88962,0.77143,0.85605,0.4538,1.56618,1.01735,1.68697,0.0065829,0.0065829,0.0065829
3,2569.73,1.57211,1.30776,1.61744,0.87853,0.7706,0.85026,0.43826,1.61931,1.0271,1.72157,0.00975124,0.00975124,0.00975124
4,3329.54,1.56556,1.31375,1.61392,0.87852,0.79234,0.85859,0.46529,1.52663,1.01981,1.65384,0.00962875,0.00962875,0.00962875
5,4160.24,1.5422,1.27364,1.60117,0.90265,0.82349,0.89137,0.4837,1.53173,0.94701,1.65465,0.009505,0.009505,0.009505
6,4853.55,1.52233,1.26802,1.59172,0.89898,0.81713,0.8825,0.48417,1.48964,0.97344,1.6146,0.00938125,0.00938125,0.00938125
7,5500.93,1.52088,1.25571,1.57975,0.90688,0.81019,0.88581,0.49646,1.47324,0.94728,1.60491,0.0092575,0.0092575,0.0092575
8,6546.16,1.49706,1.23497,1.57187,0.88989,0.81376,0.89041,0.49825,1.45736,0.95042,1.59964,0.00913375,0.00913375,0.00913375
9,7691.2,1.47952,1.21068,1.55782,0.90562,0.82511,0.89565,0.50773,1.44144,0.93464,1.58221,0.00901,0.00901,0.00901
10,8615.79,1.48465,1.2109,1.56665,0.92167,0.83647,0.91409,0.5163,1.4321,0.90726,1.56956,0.00888625,0.00888625,0.00888625
11,9375.77,1.45602,1.18602,1.53382,0.91073,0.83647,0.90407,0.51327,1.44161,0.9276,1.56943,0.0087625,0.0087625,0.0087625
12,10230.5,1.45688,1.17739,1.53366,0.8987,0.84296,0.9021,0.51698,1.41286,0.91035,1.58266,0.00863875,0.00863875,0.00863875
13,11110.2,1.44704,1.16679,1.53693,0.91996,0.8329,0.90722,0.52278,1.40887,0.89197,1.55458,0.008515,0.008515,0.008515
14,11986.4,1.44302,1.15496,1.52354,0.92047,0.8488,0.91424,0.52963,1.40125,0.8864,1.54154,0.00839125,0.00839125,0.00839125
15,12801,1.42014,1.14192,1.51034,0.92175,0.85561,0.91733,0.53195,1.3992,0.87473,1.54364,0.0082675,0.0082675,0.0082675
16,13421.9,1.42025,1.1326,1.51385,0.92016,0.84296,0.9141,0.53659,1.38136,0.86752,1.53853,0.00814375,0.00814375,0.00814375
17,14129.2,1.40969,1.12443,1.51075,0.93074,0.85788,0.92206,0.53863,1.39925,0.85743,1.53334,0.00802,0.00802,0.00802
18,14746.3,1.39921,1.09188,1.50468,0.92259,0.85852,0.91995,0.54471,1.3809,0.83603,1.54524,0.00789625,0.00789625,0.00789625
19,15373.6,1.40346,1.1073,1.50231,0.9289,0.8621,0.92527,0.54774,1.37304,0.81673,1.54254,0.0077725,0.0077725,0.0077725
20,573.539,1.37108,1.07465,1.47605,0.93138,0.85876,0.9287,0.54762,1.35473,0.81195,1.50282,0.00764875,0.00764875,0.00764875
20,678.969,1.37108,1.07465,1.47605,0.93138,0.85876,0.9287,0.54762,1.35473,0.81195,1.50282,0.00764875,0.00764875,0.00764875
1,664.471,1.63037,1.32646,1.67527,0.88949,0.78346,0.86088,0.45563,1.56255,0.98001,1.69461,0.0033314,0.0033314,0.0033314
2,1239.75,1.54424,1.25452,1.60614,0.87351,0.773,0.84762,0.44414,1.57146,1.03308,1.67926,0.00658226,0.00658226,0.00658226
3,1900.26,1.54531,1.2679,1.60012,0.87933,0.78023,0.85225,0.43673,1.62162,1.01086,1.72365,0.00975062,0.00975062,0.00975062
4,2564.97,1.54271,1.27155,1.59798,0.88426,0.80143,0.88143,0.48128,1.51843,0.95339,1.63844,0.00962875,0.00962875,0.00962875
5,3229.28,1.52339,1.24986,1.58025,0.89048,0.79429,0.87873,0.47288,1.50334,0.98859,1.63679,0.009505,0.009505,0.009505
6,3894.12,1.49181,1.2255,1.55625,0.89812,0.79235,0.87757,0.48564,1.47752,0.971,1.62999,0.00938125,0.00938125,0.00938125
7,4550.77,1.48468,1.21563,1.5541,0.90083,0.81051,0.88582,0.4936,1.47634,0.96248,1.61088,0.0092575,0.0092575,0.0092575
8,5215.38,1.46449,1.1808,1.5444,0.92198,0.84231,0.90926,0.50748,1.46273,0.88593,1.60398,0.00913375,0.00913375,0.00913375
9,5878.95,1.46034,1.16935,1.54731,0.90415,0.82738,0.90373,0.51027,1.44462,0.89785,1.59885,0.00901,0.00901,0.00901
10,6544.42,1.4546,1.16919,1.54417,0.90956,0.8452,0.91225,0.51446,1.44754,0.87341,1.58775,0.00888625,0.00888625,0.00888625
11,7208.78,1.44088,1.14376,1.5298,0.91777,0.84199,0.9094,0.51762,1.42372,0.89799,1.55686,0.0087625,0.0087625,0.0087625
12,7873.82,1.43984,1.14809,1.52189,0.91279,0.83744,0.90678,0.51827,1.42228,0.90304,1.57531,0.00863875,0.00863875,0.00863875
13,8538.28,1.42791,1.13966,1.51456,0.91305,0.85529,0.91089,0.52285,1.41937,0.87483,1.56193,0.008515,0.008515,0.008515
14,9202.46,1.41567,1.12108,1.50823,0.9301,0.85496,0.92118,0.53805,1.3982,0.83957,1.55713,0.00839125,0.00839125,0.00839125
15,9865.97,1.40279,1.10682,1.49507,0.9321,0.84523,0.91376,0.53161,1.38018,0.86648,1.53905,0.0082675,0.0082675,0.0082675
16,10530.3,1.39944,1.10276,1.49794,0.9221,0.85496,0.919,0.53305,1.38383,0.83866,1.54452,0.00814375,0.00814375,0.00814375
17,11194.7,1.40218,1.10739,1.5021,0.91624,0.85895,0.92271,0.54345,1.36762,0.83048,1.5188,0.00802,0.00802,0.00802
18,11858.6,1.38784,1.08621,1.48027,0.92701,0.86502,0.92388,0.54322,1.3631,0.82296,1.5213,0.00789625,0.00789625,0.00789625
19,12522.8,1.36475,1.0718,1.47532,0.92625,0.86395,0.92292,0.55344,1.35882,0.80557,1.52433,0.0077725,0.0077725,0.0077725
20,13186.4,1.3776,1.05879,1.48606,0.93069,0.87768,0.92784,0.55012,1.37054,0.79285,1.53312,0.00764875,0.00764875,0.00764875
21,13851,1.37034,1.06577,1.48044,0.92779,0.86718,0.92795,0.5519,1.36198,0.79606,1.52816,0.007525,0.007525,0.007525
22,14515.1,1.3621,1.05003,1.47573,0.93685,0.86243,0.93357,0.56125,1.3463,0.80096,1.50223,0.00740125,0.00740125,0.00740125
23,15180.8,1.34919,1.04064,1.46712,0.92348,0.86933,0.9287,0.55503,1.35289,0.78591,1.50882,0.0072775,0.0072775,0.0072775
24,15845.2,1.35338,1.0336,1.46365,0.92498,0.87616,0.93386,0.56407,1.3389,0.78214,1.51044,0.00715375,0.00715375,0.00715375
25,16509.1,1.34695,1.03541,1.45391,0.93752,0.88126,0.93788,0.571,1.32057,0.7717,1.4827,0.00703,0.00703,0.00703
26,17173.9,1.34148,1.03812,1.46193,0.93974,0.88482,0.94271,0.57805,1.31004,0.75882,1.47931,0.00690625,0.00690625,0.00690625
27,17838,1.3377,1.02488,1.45196,0.93805,0.87951,0.93912,0.57564,1.31132,0.76371,1.48032,0.0067825,0.0067825,0.0067825
28,18500.7,1.33505,1.02142,1.4562,0.93499,0.8727,0.93669,0.57496,1.31322,0.75518,1.47512,0.00665875,0.00665875,0.00665875
