epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,248.364,1.52645,2.57147,1.51709,0.78758,0.64258,0.75561,0.46064,1.36582,1.68078,1.57308,0.00333095,0.00333095,0.00333095
2,905.582,1.5937,1.85462,1.55143,0.81303,0.68374,0.78573,0.46041,1.45207,1.31813,1.68471,0.0065983,0.0065983,0.0065983
3,1160.42,1.70876,1.76994,1.657,0.6646,0.56651,0.61135,0.29963,1.76839,1.52795,2.03867,0.00979966,0.00979966,0.00979966
4,1500.46,1.79632,1.8263,1.75422,0.74006,0.65009,0.73545,0.40543,1.58537,1.43512,1.84259,0.009703,0.009703,0.009703
5,1737.5,1.74454,1.71264,1.73349,0.78769,0.63757,0.7529,0.41631,1.56552,1.38165,1.85241,0.009604,0.009604,0.009604
6,1916.81,1.68061,1.57991,1.69275,0.74333,0.63379,0.73487,0.42715,1.50679,1.34543,1.79037,0.009505,0.009505,0.009505
7,2097.61,1.64865,1.50069,1.65356,0.8405,0.72676,0.84184,0.51388,1.39396,1.08593,1.65268,0.009406,0.009406,0.009406
8,2385.13,1.6193,1.46986,1.63849,0.76392,0.73371,0.81041,0.49695,1.41264,1.16036,1.70087,0.009307,0.009307,0.009307
9,2644.56,1.58828,1.39591,1.60299,0.83495,0.80311,0.87594,0.53101,1.41244,1.02664,1.66692,0.009208,0.009208,0.009208
10,2882.48,1.56586,1.35817,1.5974,0.81528,0.79443,0.86833,0.54477,1.31943,0.99796,1.60017,0.009109,0.009109,0.009109
11,3067.29,1.55561,1.31245,1.59154,0.83283,0.79696,0.86336,0.53627,1.32904,0.98929,1.61627,0.00901,0.00901,0.00901
12,3251.51,1.53327,1.28681,1.57137,0.84085,0.79199,0.86761,0.52965,1.36433,0.97765,1.64614,0.008911,0.008911,0.008911
1,240.725,1.53342,2.61678,1.51438,0.75501,0.64521,0.72533,0.39229,1.45197,1.77399,1.73132,0.00333134,0.00333134,0.00333134
2,458.959,1.60504,1.9031,1.56989,0.7604,0.66856,0.77544,0.43909,1.50435,1.3582,1.75081,0.0065987,0.0065987,0.0065987
3,664.205,1.73023,1.8271,1.69553,0.65749,0.57812,0.63262,0.31021,1.82795,1.58974,2.08086,0.00980005,0.00980005,0.00980005
4,874.894,1.82094,1.88557,1.78775,0.73819,0.60457,0.69847,0.37191,1.63516,1.44902,1.92798,0.009703,0.009703,0.009703
5,1093.7,1.74855,1.72963,1.75281,0.72165,0.63461,0.71668,0.35052,1.70867,1.41802,1.96269,0.009604,0.009604,0.009604
6,1311.36,1.6976,1.62902,1.71542,0.78437,0.71785,0.80065,0.46518,1.4709,1.2031,1.75424,0.009505,0.009505,0.009505
7,1527.91,1.66548,1.54288,1.6761,0.82105,0.71853,0.82411,0.47482,1.4417,1.13739,1.72448,0.009406,0.009406,0.009406
8,1745.48,1.63948,1.50223,1.64974,0.83258,0.74067,0.83975,0.49566,1.40546,1.1374,1.6829,0.009307,0.009307,0.009307
9,1961.67,1.59725,1.43067,1.62719,0.71147,0.72359,0.76541,0.45279,1.4394,1.21781,1.7199,0.009208,0.009208,0.009208
10,2179.29,1.5902,1.39128,1.61204,0.80843,0.79254,0.85723,0.53614,1.32804,1.00554,1.61371,0.009109,0.009109,0.009109
11,2394.42,1.56738,1.33787,1.60806,0.81547,0.77989,0.86397,0.54892,1.30692,0.97868,1.59257,0.00901,0.00901,0.00901
12,2609.37,1.54612,1.31784,1.58095,0.80585,0.71917,0.81019,0.48654,1.45261,1.14771,1.76401,0.008911,0.008911,0.008911
13,2824.01,1.52564,1.26888,1.56469,0.84251,0.78874,0.86332,0.51125,1.40008,0.98018,1.68352,0.008812,0.008812,0.008812
14,3048.84,1.51203,1.26697,1.55397,0.87584,0.8299,0.90099,0.5915,1.27938,0.86462,1.56533,0.008713,0.008713,0.008713
15,3267.38,1.49065,1.23015,1.53989,0.8791,0.81407,0.89987,0.57592,1.31933,0.88387,1.61588,0.008614,0.008614,0.008614
16,3485.62,1.49618,1.23388,1.54085,0.89351,0.84387,0.91429,0.59447,1.26405,0.85919,1.53761,0.008515,0.008515,0.008515
17,3704.54,1.45791,1.18282,1.51568,0.84663,0.82749,0.89858,0.59906,1.22187,0.85928,1.4998,0.008416,0.008416,0.008416
18,3924.92,1.47295,1.1932,1.51982,0.8268,0.83333,0.89458,0.58768,1.25023,0.91168,1.53049,0.008317,0.008317,0.008317
19,4143.69,1.4436,1.1552,1.5077,0.86939,0.83049,0.90241,0.59277,1.24737,0.84047,1.53175,0.008218,0.008218,0.008218
20,4360.32,1.43517,1.12479,1.49317,0.91393,0.8482,0.92041,0.61711,1.20081,0.80366,1.4834,0.008119,0.008119,0.008119
21,4576.98,1.43723,1.11263,1.4924,0.87386,0.84124,0.91373,0.60665,1.22659,0.83129,1.50603,0.00802,0.00802,0.00802
22,4794.08,1.43773,1.11941,1.48593,0.86431,0.84206,0.91413,0.61831,1.21332,0.79119,1.48873,0.007921,0.007921,0.007921
23,5010.92,1.42345,1.09831,1.48696,0.90468,0.85073,0.92146,0.62223,1.1963,0.7777,1.48567,0.007822,0.007822,0.007822
24,5231.5,1.42212,1.09915,1.4745,0.87523,0.84302,0.91207,0.6059,1.19986,0.80025,1.47744,0.007723,0.007723,0.007723
25,5450.55,1.39439,1.06385,1.45893,0.88744,0.8478,0.92084,0.6206,1.19052,0.78564,1.47096,0.007624,0.007624,0.007624
26,5664.78,1.39562,1.05412,1.46116,0.89181,0.86027,0.92054,0.62385,1.18393,0.78621,1.48247,0.007525,0.007525,0.007525
27,5881.12,1.38494,1.04916,1.45287,0.90402,0.84003,0.91885,0.61425,1.19569,0.76549,1.48048,0.007426,0.007426,0.007426
28,6096.86,1.38164,1.03668,1.45021,0.90474,0.86507,0.93257,0.64625,1.14959,0.72318,1.43232,0.007327,0.007327,0.007327
29,6313.99,1.36779,1.0245,1.44264,0.91329,0.86022,0.93174,0.63312,1.18971,0.74513,1.45898,0.007228,0.007228,0.007228
30,6531.7,1.36031,1.02278,1.43123,0.87707,0.86194,0.92261,0.628,1.19321,0.76472,1.47382,0.007129,0.007129,0.007129
31,6749.8,1.35646,1.00627,1.42921,0.90853,0.86073,0.9267,0.63643,1.16452,0.7305,1.4305,0.00703,0.00703,0.00703
32,6965.09,1.35479,0.98727,1.43268,0.89616,0.85389,0.92543,0.64206,1.1435,0.71386,1.42449,0.006931,0.006931,0.006931
33,7182.46,1.33763,0.983,1.42017,0.91416,0.87223,0.93483,0.63986,1.18228,0.69809,1.47064,0.006832,0.006832,0.006832
