epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,355.631,1.56897,1.13778,1.54896,0.90395,0.82447,0.89267,0.49864,1.50675,0.86484,1.54736,0.00333172,0.00333172,0.00333172
2,701,1.48757,1.13579,1.48655,0.91293,0.82576,0.89469,0.49873,1.47917,0.87793,1.52021,0.00659907,0.00659907,0.00659907
3,1104.68,1.49099,1.17157,1.50057,0.8996,0.81698,0.88456,0.49341,1.47671,0.94156,1.55188,0.00980042,0.00980042,0.00980042
4,1516.9,1.52443,1.22377,1.52997,0.89182,0.83095,0.8855,0.48324,1.48422,0.93264,1.5466,0.009703,0.009703,0.009703
5,1809.01,1.50658,1.22338,1.51671,0.92304,0.83668,0.90437,0.51164,1.46858,0.88494,1.54703,0.009604,0.009604,0.009604
6,2066.2,1.48806,1.20296,1.50443,0.89576,0.82511,0.87881,0.49762,1.46354,0.94484,1.55431,0.009505,0.009505,0.009505
7,2332.38,1.47994,1.17851,1.49858,0.91908,0.84523,0.9092,0.5176,1.43782,0.8788,1.51288,0.009406,0.009406,0.009406
8,2606.65,1.46249,1.17549,1.48886,0.91846,0.8369,0.90189,0.50446,1.45334,0.90756,1.51962,0.009307,0.009307,0.009307
9,2864.75,1.46104,1.16546,1.48883,0.92171,0.84037,0.90728,0.5148,1.42424,0.88576,1.50427,0.009208,0.009208,0.009208
10,3137.87,1.45186,1.16528,1.48365,0.91289,0.85347,0.90696,0.51604,1.423,0.87537,1.50803,0.009109,0.009109,0.009109
11,3398.36,1.43688,1.13006,1.47117,0.91523,0.84426,0.90767,0.53761,1.36979,0.88301,1.45268,0.00901,0.00901,0.00901
12,3669.73,1.42452,1.1295,1.47124,0.92277,0.85287,0.91261,0.53044,1.40065,0.87251,1.50072,0.008911,0.008911,0.008911
13,3984.75,1.42779,1.12164,1.46464,0.91614,0.85432,0.91851,0.53659,1.37678,0.86283,1.4744,0.008812,0.008812,0.008812
14,4267.27,1.42592,1.1252,1.46143,0.90783,0.86289,0.91563,0.54235,1.3782,0.84117,1.47178,0.008713,0.008713,0.008713
15,4547.38,1.41264,1.11396,1.45166,0.92744,0.8634,0.92239,0.5501,1.37358,0.84811,1.45882,0.008614,0.008614,0.008614
16,4828.33,1.40825,1.11013,1.45136,0.92388,0.86048,0.91992,0.54624,1.36443,0.82795,1.46569,0.008515,0.008515,0.008515
17,5426.92,1.40545,1.09164,1.45407,0.93033,0.86665,0.92606,0.55463,1.36216,0.81288,1.45373,0.008416,0.008416,0.008416
18,5716.81,1.39117,1.08552,1.4424,0.93175,0.85951,0.92071,0.55149,1.35351,0.81568,1.44722,0.008317,0.008317,0.008317
19,6001.6,1.39543,1.07272,1.44466,0.92725,0.86849,0.93025,0.55827,1.35423,0.80296,1.44597,0.008218,0.008218,0.008218
20,6283.88,1.38282,1.0599,1.43293,0.92595,0.86048,0.92426,0.55986,1.34892,0.79575,1.44441,0.008119,0.008119,0.008119
21,6562.49,1.37704,1.0599,1.42724,0.93689,0.87541,0.93468,0.56667,1.33217,0.78182,1.42831,0.00802,0.00802,0.00802
22,6843.05,1.37644,1.04698,1.43103,0.93709,0.86502,0.92921,0.57082,1.31147,0.78409,1.41248,0.007921,0.007921,0.007921
23,7122.81,1.37425,1.05698,1.43079,0.93381,0.86957,0.93059,0.57025,1.31004,0.77936,1.41449,0.007822,0.007822,0.007822
24,7403.49,1.37034,1.04808,1.43196,0.93162,0.87541,0.93081,0.57028,1.31646,0.77484,1.42524,0.007723,0.007723,0.007723
25,7684.71,1.36106,1.04151,1.41759,0.92931,0.87476,0.93124,0.58145,1.28711,0.7659,1.4089,0.007624,0.007624,0.007624
26,7963.89,1.35818,1.03487,1.42136,0.94108,0.87573,0.93637,0.57573,1.30976,0.76132,1.41282,0.007525,0.007525,0.007525
27,8243.74,1.35783,1.03288,1.415,0.93601,0.88092,0.93473,0.57988,1.2963,0.76384,1.39843,0.007426,0.007426,0.007426
28,8524.23,1.36058,1.04146,1.42409,0.94131,0.878,0.93594,0.58709,1.28921,0.75499,1.39745,0.007327,0.007327,0.007327
29,8802.31,1.34877,1.02277,1.41107,0.93743,0.8848,0.93677,0.58567,1.28472,0.75007,1.39741,0.007228,0.007228,0.007228
30,9082.2,1.34363,1.02466,1.40289,0.9444,0.88092,0.93372,0.58706,1.28027,0.75663,1.38429,0.007129,0.007129,0.007129
31,9361.04,1.33734,1.00737,1.40398,0.94243,0.88027,0.93759,0.58816,1.26565,0.75249,1.37867,0.00703,0.00703,0.00703
